"""Top 40"" at grade Intersections (January 2020)",,
,,
Rank,Location,Vehicle Exposure
1,ADAM STREET / PARK TERRACE / PORT ROAD,"93,400"
2,REGENCY ROAD / SOUTH ROAD,"84,500"
3,GRAND JUNCTION ROAD / MAIN NORTH ROAD / PORT WAKEFIELD ROAD,"81,900"
4,NORTH EAST ROAD / SUDHOLZ ROAD,"81,900"
5,KINGS ROAD / MAIN NORTH ROAD / MCINTYRE ROAD,"81,600"
6,FITZROY TERRACE / JEFFCOTT ROAD / PARK TERRACE / TORRENS ROAD,"79,000"
7,MARION ROAD / STURT ROAD,"78,800"
8,FULLARTON ROAD / GREENHILL ROAD,"76,900"
9,DAWS ROAD / MARION ROAD / OAKLANDS ROAD,"76,900"
10,GEORGE STREET / JAMES CONGDON DRIVE / PORT ROAD,"76,600"
11,MAIN NORTH ROAD / SAINTS ROAD / THE GROVE WAY,"75,400"
12,LOWER PORTRUSH ROAD / PAYNEHAM ROAD / PORTRUSH ROAD,"75,300"
13,SIR DONALD BRADMAN DRIVE / SOUTH ROAD,"75,000"
14,ANZAC HIGHWAY / GREENHILL ROAD / RICHMOND ROAD,"74,600"
15,GROTE STREET / SIR DONALD BRADMAN DRIVE / WEST TERRACE,"74,300"
16,PHILLIPS STREET / PORT ROAD / PARKLANDS ACCESS,"74,200"
17,GREENHILL ROAD / UNLEY ROAD,"73,500"
18,CAVAN ROAD / CHURCHILL ROAD / GRAND JUNCTION ROAD,"73,400"
19,FITZROY TERRACE / MAIN NORTH ROAD / ROBE TERRACE,"72,000"
20,PORT ROAD / LIGHT TERRACE,"72,000"
21,MAIN NORTH ROAD / MONTAGUE ROAD,"71,500"
22,MAIN NORTH ROAD / REGENCY ROAD,"70,700"
23,CROSS ROAD / GLEN OSMOND ROAD / PORTRUSH ROAD / SOUTH EASTERN FREEWAY,"70,500"
24,MAIN NORTH ROAD / PHILIP HIGHWAY / YORKTOWN ROAD,"70,100"
25,BLACK TOP ROAD / MAIN NORTH ROAD,"70,000"
26,CHURCHILL ROAD NORTH / MONTAGUE ROAD / PORT WAKEFIELD ROAD,"69,900"
27,DAWS ROAD / SOUTH ROAD,"69,600"
28,HENLEY BEACH ROAD / SOUTH ROAD,"69,000"
29,CURRIE STREET / GLOVER AVENUE / WEST TERRACE,"68,700"
30,JOHN RICE AVENUE / MAIN NORTH ROAD,"68,500"
31,GLEN OSMOND ROAD / GREENHILL ROAD,"68,500"
32,MARTINS ROAD / PORT WAKEFIELD ROAD,"67,300"
33,GREENHILL ROAD / KING WILLIAM ROAD / PEACOCK ROAD,"67,300"
34,MAIN NORTH ROAD / NOTTAGE TERRACE,"66,700"
35,ANZAC HIGHWAY / MARION ROAD,"66,600"
36,ELDER SMITH ROAD / MAIN NORTH ROAD / MAXWELL ROAD,"66,500"
37,ELDER SMITH ROAD / SALISBURY HIGHWAY / ELDER SMITH ROAD,"66,500"
38,ASHWIN PARADE / SOUTH ROAD / WEST THEBARTON ROAD,"65,900"
39,GOODWOOD ROAD / GREENHILL ROAD,"65,900"
40,KINGS ROAD / SALISBURY HIGHWAY,"65,800"
