"""Top 40"" at grade Intersections (January 2019)",,
,,
Rank,Location,Vehicle Exposure
1,MAIN SOUTH ROAD / STURT ROAD,"98,400"
2,ADAM STREET / PARK TERRACE / PORT ROAD,"93,400"
3,GROTE STREET / SIR DONALD BRADMAN DRIVE / WEST TERRACE,"91,700"
4,AYLIFFES ROAD / MAIN SOUTH ROAD / SHEPHERDS HILL ROAD / SOUTH ROAD,"83,700"
5,NORTH EAST ROAD / SUDHOLZ ROAD,"81,900"
6,GRAND JUNCTION ROAD / MAIN NORTH ROAD / PORT WAKEFIELD ROAD,"80,600"
7,FLINDERS DRIVE / MAIN SOUTH ROAD,"80,200"
8,KINGS ROAD / MAIN NORTH ROAD / MCINTYRE ROAD,"77,900"
9,FULLARTON ROAD / GREENHILL ROAD,"76,900"
10,CURRIE STREET / GLOVER AVENUE / WEST TERRACE,"76,800"
11,GEORGE STREET / JAMES CONGDON DRIVE / PORT ROAD,"76,600"
12,FITZROY TERRACE / JEFFCOTT ROAD / PARK TERRACE / TORRENS ROAD,"75,600"
13,MAIN NORTH ROAD / SAINTS ROAD / THE GROVE WAY,"75,400"
14,LOWER PORTRUSH ROAD / PAYNEHAM ROAD / PORTRUSH ROAD,"75,300"
15,ANZAC HIGHWAY / GREENHILL ROAD / RICHMOND ROAD,"74,600"
16,PHILLIPS STREET / PORT ROAD / PARKLANDS ACCESS,"74,200"
17,GREENHILL ROAD / UNLEY ROAD,"73,100"
18,PORT ROAD / LIGHT TERRACE,"72,000"
19,MAIN NORTH ROAD / MONTAGUE ROAD,"71,900"
20,MAIN NORTH ROAD / REGENCY ROAD,"71,600"
21,BOTANIC ROAD / DEQUETTEVILLE TERRACE / HACKNEY ROAD / NORTH TERRACE,"71,100"
22,HENLEY BEACH ROAD / SOUTH ROAD,"70,900"
23,DAWS ROAD / MARION ROAD / OAKLANDS ROAD,"70,400"
24,MAIN NORTH ROAD / PHILIP HIGHWAY / YORKTOWN ROAD,"70,100"
25,BLACK TOP ROAD / MAIN NORTH ROAD,"70,000"
26,GLEN OSMOND ROAD / GREENHILL ROAD,"70,000"
27,CROSS ROAD / GLEN OSMOND ROAD / PORTRUSH ROAD / SOUTH EASTERN FREEWAY,"69,800"
28,RICHMOND ROAD / SOUTH ROAD,"69,700"
29,MARION ROAD / STURT ROAD,"69,700"
30,DAWS ROAD / SOUTH ROAD,"69,600"
31,ANZAC HIGHWAY / MARION ROAD,"69,100"
32,ELDER SMITH ROAD / MAIN NORTH ROAD / MAXWELL ROAD,"68,600"
33,FITZROY TERRACE / MAIN NORTH ROAD / ROBE TERRACE,"68,600"
34,JOHN RICE AVENUE / MAIN NORTH ROAD,"68,500"
35,SIR DONALD BRADMAN DRIVE / SOUTH ROAD,"68,500"
36,ELDER SMITH ROAD / SALISBURY HIGHWAY / ELDER SMITH ROAD,"66,500"
37,REGENCY ROAD / SOUTH ROAD,"66,300"
38,CAVAN ROAD / CHURCHILL ROAD / GRAND JUNCTION ROAD,"66,300"
39,GREENHILL ROAD / PORTRUSH ROAD,"65,500"
40,MAIN NORTH ROAD / NOTTAGE TERRACE,"65,300"
